country,year,hour_utc,avg_price,indexed
IT,2022,14,301.519,0.992
IT,2022,15,320.907,1.0558
IT,2022,16,350.002,1.1515
IT,2022,17,379.551,1.2487
IT,2022,18,377.09,1.2406
IT,2022,19,346.835,1.1411
IT,2022,20,320.078,1.0531
IT,2022,21,300.975,0.9902
IT,2022,22,285.367,0.9389
IT,2022,23,275.795,0.9074
IT,2023,0,112.582,0.885
IT,2023,1,109.352,0.8596
IT,2023,2,107.925,0.8484
IT,2023,3,110.337,0.8673
IT,2023,4,119.642,0.9405
IT,2023,5,134.711,1.0589
IT,2023,6,143.311,1.1265
IT,2023,7,141.662,1.1136
IT,2023,8,131.087,1.0305
IT,2023,9,120.443,0.9468
IT,2023,10,112.146,0.8816
IT,2023,11,106.347,0.836
IT,2023,12,106.617,0.8381
IT,2023,13,112.825,0.8869
IT,2023,14,121.405,0.9543
IT,2023,15,132.492,1.0415
IT,2023,16,147.115,1.1565
IT,2023,17,165.482,1.3008
IT,2023,18,167.043,1.3131
IT,2023,19,150.497,1.183
IT,2023,20,134.823,1.0598
IT,2023,21,126.465,0.9941
IT,2023,22,121.648,0.9563
IT,2023,23,117.152,0.9209
IT,2024,0,95.528,0.8802
IT,2024,1,93.058,0.8575
IT,2024,2,92.31,0.8506
IT,2024,3,94.379,0.8697
IT,2024,4,102.912,0.9483
IT,2024,5,116.056,1.0694
IT,2024,6,122.809,1.1316
IT,2024,7,119.978,1.1055
IT,2024,8,109.723,1.011
IT,2024,9,100.751,0.9284
IT,2024,10,92.254,0.8501
IT,2024,11,87.785,0.8089
IT,2024,12,89.357,0.8234
IT,2024,13,95.374,0.8788
IT,2024,14,105.304,0.9703
IT,2024,15,115.622,1.0654
IT,2024,16,128.375,1.1829
IT,2024,17,143.826,1.3253
IT,2024,18,144.032,1.3272
IT,2024,19,128.88,1.1876
IT,2024,20,115.157,1.0611
IT,2024,21,107.882,0.9941
IT,2024,22,103.621,0.9548
IT,2024,23,99.614,0.9179
IT,2025,0,106.34,0.9174
IT,2025,1,104.605,0.9024
IT,2025,2,104.074,0.8978
IT,2025,3,106.257,0.9167
IT,2025,4,115.565,0.997
IT,2025,5,126.73,1.0933
IT,2025,6,130.606,1.1267
IT,2025,7,125.659,1.084
IT,2025,8,114.149,0.9847
IT,2025,9,103.496,0.8928
IT,2025,10,94.235,0.813
IT,2025,11,89.725,0.774
IT,2025,12,92.121,0.7947
IT,2025,13,98.407,0.8489
IT,2025,14,109.61,0.9456
IT,2025,15,122.977,1.0609
IT,2025,16,135.234,1.1666
IT,2025,17,146.622,1.2649
IT,2025,18,149.432,1.2891
IT,2025,19,136.768,1.1799
IT,2025,20,125.931,1.0864
IT,2025,21,118.869,1.0255
IT,2025,22,114.391,0.9868
IT,2025,23,110.213,0.9508
IT,2026,0,126.587,0.9795
IT,2026,1,124.822,0.9658
IT,2026,2,124.463,0.963
IT,2026,3,126.146,0.976
IT,2026,4,134.539,1.041
IT,2026,5,143.168,1.1077
IT,2026,6,144.087,1.1149
IT,2026,7,136.106,1.0531
IT,2026,8,121.545,0.9404
IT,2026,9,108.923,0.8428
IT,2026,10,96.651,0.7478
IT,2026,11,91.098,0.7049
IT,2026,12,93.811,0.7259
IT,2026,13,100.127,0.7747
IT,2026,14,112.965,0.8741
IT,2026,15,131.167,1.0149
IT,2026,16,148.529,1.1492
IT,2026,17,162.223,1.2552
IT,2026,18,166.461,1.288
IT,2026,19,157.03,1.215
IT,2026,20,148.127,1.1461
IT,2026,21,138.008,1.0678
IT,2026,22,134.563,1.0412
IT,2026,23,130.689,1.0112
PT,2019,0,43.723,0.9134
PT,2019,1,41.993,0.8773
PT,2019,2,41.109,0.8588
PT,2019,3,41.322,0.8633
PT,2019,4,42.813,0.8944
PT,2019,5,45.782,0.9565
PT,2019,6,49.038,1.0245
PT,2019,7,50.455,1.0541
PT,2019,8,50.798,1.0613
PT,2019,9,50.559,1.0563
PT,2019,10,50.224,1.0493
PT,2019,11,49.856,1.0416
PT,2019,12,48.629,1.0159
PT,2019,13,47.092,0.9838
PT,2019,14,46.283,0.9669
PT,2019,15,46.696,0.9756
PT,2019,16,48.308,1.0092
PT,2019,17,50.693,1.0591
PT,2019,18,52.868,1.1045
PT,2019,19,53.963,1.1274
PT,2019,20,52.157,1.0897
PT,2019,21,49.58,1.0358
PT,2019,22,48.55,1.0143
PT,2019,23,46.291,0.9671
PT,2020,0,29.785,0.8764
PT,2020,1,28.348,0.8341
PT,2020,2,27.652,0.8136
PT,2020,3,28.0,0.8239
PT,2020,4,30.163,0.8875
PT,2020,5,32.709,0.9624
PT,2020,6,35.041,1.031
PT,2020,7,35.977,1.0586
PT,2020,8,35.827,1.0542
PT,2020,9,35.394,1.0414
PT,2020,10,35.209,1.036
PT,2020,11,34.812,1.0243
PT,2020,12,33.912,0.9978
PT,2020,13,32.334,0.9514
PT,2020,14,31.845,0.937
PT,2020,15,32.837,0.9662
PT,2020,16,35.097,1.0327
PT,2020,17,37.959,1.1169
PT,2020,18,40.169,1.1819
PT,2020,19,40.768,1.1996
PT,2020,20,39.259,1.1552
PT,2020,21,36.282,1.0676
PT,2020,22,34.29,1.0089
PT,2020,23,31.995,0.9414
PT,2021,0,103.727,0.926
PT,2021,1,100.263,0.895
PT,2021,2,97.256,0.8682
PT,2021,3,97.428,0.8697
PT,2021,4,103.843,0.927
PT,2021,5,111.334,0.9939
PT,2021,6,118.249,1.0556
PT,2021,7,119.477,1.0666
PT,2021,8,116.686,1.0416
PT,2021,9,112.757,1.0066
PT,2021,10,109.55,0.9779
PT,2021,11,107.482,0.9595
PT,2021,12,104.981,0.9372
PT,2021,13,100.782,0.8997
PT,2021,14,100.282,0.8952
PT,2021,15,106.093,0.9471
PT,2021,16,115.681,1.0327
PT,2021,17,126.042,1.1252
PT,2021,18,132.563,1.1834
PT,2021,19,133.146,1.1886
PT,2021,20,127.202,1.1355
PT,2021,21,119.037,1.0626
PT,2021,22,114.438,1.0216
PT,2021,23,110.196,0.9837
PT,2022,0,159.034,0.9473
PT,2022,1,153.129,0.9122
PT,2022,2,150.151,0.8944
PT,2022,3,151.988,0.9054
PT,2022,4,160.864,0.9582
PT,2022,5,174.958,1.0422
PT,2022,6,183.456,1.0928
PT,2022,7,180.181,1.0733
PT,2022,8,170.303,1.0145
PT,2022,9,160.389,0.9554
PT,2022,10,154.751,0.9218
PT,2022,11,151.864,0.9046
PT,2022,12,146.443,0.8723
PT,2022,13,141.555,0.8432
PT,2022,14,140.492,0.8369
PT,2022,15,147.296,0.8774
