country,year,tech,capacity_mw
ES,2020,Offshore wind,0.0
ES,2020,Onshore wind,24446.6
ES,2021,Biomass,704.0
ES,2021,Lignite,0.0
ES,2021,Gas,29969.5
ES,2021,Hard coal,5977.0
ES,2021,Oil & other fossil,678.4
ES,2021,Geothermal,0.0
ES,2021,Hydro pumped (production),5645.4
ES,2021,Hydro run-of-river,1154.8
ES,2021,Hydro reservoir,19185.7
ES,2021,Marine,0.0
ES,2021,Nuclear,7117.2
ES,2021,Other,117.4
ES,2021,Other renewable,268.8
ES,2021,Solar,11389.5
ES,2021,Waste,537.1
ES,2021,Offshore wind,0.0
ES,2021,Onshore wind,26663.6
ES,2022,Biomass,702.3
ES,2022,Lignite,0.0
ES,2022,Gas,29926.9
ES,2022,Hard coal,4641.8
ES,2022,Oil & other fossil,669.0
ES,2022,Geothermal,0.0
ES,2022,Hydro pumped (production),5695.4
ES,2022,Hydro run-of-river,1154.8
ES,2022,Hydro reservoir,19186.7
ES,2022,Marine,0.0
ES,2022,Nuclear,7117.2
ES,2022,Other,118.4
ES,2022,Other renewable,271.7
ES,2022,Solar,14639.9
ES,2022,Waste,565.3
ES,2022,Offshore wind,0.0
ES,2022,Onshore wind,27734.8
ES,2023,Biomass,707.1
ES,2023,Lignite,0.0
ES,2023,Gas,29902.6
ES,2023,Hard coal,3222.6
ES,2023,Oil & other fossil,669.7
ES,2023,Geothermal,0.0
ES,2023,Hydro pumped (production),3417.5
ES,2023,Hydro run-of-river,1154.8
ES,2023,Hydro reservoir,15772.7
ES,2023,Marine,0.0
ES,2023,Nuclear,7117.2
ES,2023,Other,118.4
ES,2023,Other renewable,284.9
ES,2023,Solar,18522.5
ES,2023,Waste,545.9
ES,2023,Offshore wind,0.0
ES,2023,Onshore wind,29320.4
ES,2024,Biomass,707.5
ES,2024,Lignite,0.0
ES,2024,Gas,29872.8
ES,2024,Hard coal,3222.6
ES,2024,Oil & other fossil,703.7
ES,2024,Geothermal,0.0
ES,2024,Hydro pumped (production),3417.5
ES,2024,Hydro run-of-river,1154.8
ES,2024,Hydro reservoir,15771.4
ES,2024,Marine,0.0
ES,2024,Nuclear,7117.2
ES,2024,Other,122.2
ES,2024,Other renewable,286.9
ES,2024,Solar,23867.3
ES,2024,Waste,545.9
ES,2024,Offshore wind,0.0
ES,2024,Onshore wind,30159.3
ES,2025,Biomass,709.1
ES,2025,Lignite,0.0
ES,2025,Gas,29943.3
ES,2025,Hard coal,1819.7
ES,2025,Oil & other fossil,672.2
ES,2025,Geothermal,0.0
ES,2025,Hydro pumped (production),3417.5
ES,2025,Hydro run-of-river,1154.2
ES,2025,Hydro reservoir,15764.6
ES,2025,Marine,0.0
ES,2025,Nuclear,7117.2
ES,2025,Other,129.6
ES,2025,Other renewable,620.7
ES,2025,Solar,29047.0
ES,2025,Waste,545.9
ES,2025,Offshore wind,0.0
ES,2025,Onshore wind,30931.9
PT,2019,Biomass,604.8
PT,2019,Lignite,0.0
PT,2019,Gas,4606.0
PT,2019,Hard coal,1756.0
PT,2019,Oil & other fossil,0.0
PT,2019,Geothermal,0.0
PT,2019,Hydro pumped (production),2820.0
PT,2019,Hydro run-of-river,2857.6
PT,2019,Hydro reservoir,1515.3
PT,2019,Marine,0.0
PT,2019,Nuclear,0.0
PT,2019,Other,36.2
PT,2019,Other renewable,0.0
PT,2019,Solar,323.5
PT,2019,Waste,0.0
PT,2019,Offshore wind,0.0
PT,2019,Onshore wind,5126.6
PT,2020,Biomass,678.8
PT,2020,Lignite,0.0
PT,2020,Gas,4606.2
PT,2020,Hard coal,1756.0
PT,2020,Oil & other fossil,0.0
PT,2020,Geothermal,0.0
PT,2020,Hydro pumped (production),2820.0
PT,2020,Hydro run-of-river,2857.6
PT,2020,Hydro reservoir,1515.3
PT,2020,Marine,0.0
PT,2020,Nuclear,0.0
PT,2020,Other,8.0
PT,2020,Other renewable,0.0
PT,2020,Solar,413.4
PT,2020,Waste,0.0
PT,2020,Offshore wind,0.0
PT,2020,Onshore wind,5180.8
PT,2021,Biomass,684.1
PT,2021,Lignite,0.0
PT,2021,Gas,4584.9
PT,2021,Hard coal,1756.0
PT,2021,Oil & other fossil,0.0
PT,2021,Geothermal,0.0
PT,2021,Hydro pumped (production),2820.0
PT,2021,Hydro run-of-river,2856.8
PT,2021,Hydro reservoir,1515.3
PT,2021,Marine,0.0
PT,2021,Nuclear,0.0
PT,2021,Other,28.0
PT,2021,Other renewable,0.0
PT,2021,Solar,569.2
PT,2021,Waste,0.0
PT,2021,Offshore wind,25.0
PT,2021,Onshore wind,5183.4
PT,2022,Biomass,681.0
PT,2022,Lignite,0.0
PT,2022,Gas,4519.5
PT,2022,Hard coal,0.0
PT,2022,Oil & other fossil,0.0
PT,2022,Geothermal,0.0
PT,2022,Hydro pumped (production),2827.4
PT,2022,Hydro run-of-river,2856.4
PT,2022,Hydro reservoir,1515.3
PT,2022,Marine,0.0
PT,2022,Nuclear,0.0
PT,2022,Other,28.0
PT,2022,Other renewable,0.0
PT,2022,Solar,1031.9
PT,2022,Waste,0.0
PT,2022,Offshore wind,25.0
PT,2022,Onshore wind,5328.0
PT,2023,Biomass,647.0
PT,2023,Lignite,0.0
PT,2023,Gas,4584.6
PT,2023,Hard coal,0.0
PT,2023,Oil & other fossil,0.0
PT,2023,Geothermal,0.0
PT,2023,Hydro pumped (production),3707.4
PT,2023,Hydro run-of-river,2856.4
PT,2023,Hydro reservoir,1633.4
PT,2023,Marine,0.0
PT,2023,Nuclear,0.0
